#,Dom,Ref. Bíblica,Descrição,Pergunta orientadora,Exemplo bíblico,Possíveis atuações
1,Apostolado/ Apóstolo,Ef.4:11,"É movido por Deus a dar início a novas igrejas em lugares ainda não alcançados pelo evangelho de Jesus, lançandos os fundamentos da vida com Deus numa sociedade e/ou grupo de pessoas.",Onde ainda não há presença do evangelho e poderíamos iniciar algo?,Atos 13:1-3,- Presbitério; - Sup. Célula; - Missões; - Plantação de igrejas
2,Profecia/ Profeta,Rom.12:6; I Co.12:10,É porta voz da mensagem de Deus as pessoas conciliando com muita relevância os desafios contemporâneos com os princípios da Palavra.,O que Deus está querendo nos comunicar?,Atos 15:32,- Presbitério; - Líder de célula; - Louvor; - Intercessão
3,Evangelista,Ef.4:11,"Possui grande preocupação e interesse pelas pessoas que ainda não conhecem o evangelho de Jesus, procurando constantemente meios para comunicar-lhes.",Como posso alcançar intencionalmente quem ainda não conhece Jesus?,Atos 8:26-40,- Líder de célula; - Recepção; - Missões; - Plantação de igrejas
4,Pastor,Ef.4:11,"Ocupa-se com o cuidado daqueles que já tomaram uma posição como discípulos de Jesus, procurando zelar pela sua saúde e desenvolvimento espiritual.",Quem está precisando de cuidado?,Atos 28:28-31,- Presbitério; - Líder de célula; - Ministério infantil; - J.A.
5,Ensino / Mestre,Rom.12:7; Ef.4:11,É usado por Deus para oferecer uma compreensão mais organizada e preventiva de Sua vontade expressa na Palavra.,Como posso apresentar as verdades bíblicas de forma clara e aplicável?,Atos 18:24-38,- Presbitério; - Ministério infantil; - Aliança em movimento
6,Conhecimento,I Co.12:8,"Revelação sobrenatural da parte de Deus, comunicando fatos objetivos sobre o passado ou o presente que não poderiam ser acessados pelo intelecto ou pela observação natural.",O que Deus quer revelar que não seria possível saber naturalmente?,Atos 11:27-28,- Intercessão; - Diaconia
7,Sabedoria,I Co.12:8,"Compreensão da parte de Deus de como agir, trazendo soluções divinas para determinadas situações.",Qual a melhor decisão segundo a perspectiva de Deus?,Atos 15:12-21,- Diretoria; - Sup. Células; - Eventos
8,"Encorajamento, Exortação Aconselhamento",Rom.12:8,"Tem grande capacidade em aproximar-se de uma pessoa ou grupo, entendendo seu problema, encorajando com palavras e mantendo-se ao lado.",Quem está precisando de consolo ou encorajamento?,Atos 9:26-27,- Diaconia; - Líder de célula; - Ministério infantil
9,Administração Governo; Liderança Presidência,I Co.12:28; Rom.12:8,Preocupa-se com a elaboração de um plano e o suprimento de recursos físicos e humanos para que o propósito de Deus para um grupo seja viabilizado.,Como posso organizar pessoas e recursos para cumprir os propósitos de Deus?,Atos 6:1-7,- Diretoria; - Diaconia; - Eventos; - Bazar
10,Serviço / Socorro; Ministério / Diaconia,Rom.12:7; I Co 12:28,"Percebe com facilidade a necessidade de ajudar pessoas ou grupos em determinadas tarefas de apoio, tomando a iniciativa com atitudes práticas.",Onde há uma necessidade prática que posso suprir agora?,Atos 9:36,- Diaconia; - Eventos; - Ministério infantil; - Bazar
11,Contribuição,Rom.12:8,Sente-se impelido a compartilhar seus bens materiais e apoiar financeiramente pessoas e grupos em dificuldades ou quando engajados numa tarefa.,Como posso usar meus recursos para o avanço do Reino de Deus?,Atos 4:36-37,- Diretoria; - Diaconia; - Bazar
12,Misericórdia,Rom.12:8,"Possui grande sensibilidade para com os que sofrem física ou emocionalmente, o que o leva a se aproximar com atitudes de consolo e encorajamento.",Quem está sofrendo e pode sentir o amor de Deus através de mim?,Atos 28:8,- Diaconia; - Bazar
13,Discernimento,I Co.12:10,Tem grande sensibilidade para perceber quando pessoas e situações são fruto do mover de Deus ou quando são fruto de uma estratégia maligna.,"Isso vem de Deus, do homem ou de outra influência?",Atos 16:16-18,- Intercessão; - Louvor
14,Fé,I Co.12:9,"Tem grande facilidade em confiar firmemente no poder de Deus, especialmente quando pessoas ou grupos estão diante de problemas humanamente impossíveis de serem solucionados.",O que está além do que meus olhos podem ver?,Atos 3:1-6,- Intercessão; - Diretoria
